id,supplier_id,site_id,definition_version,window_start,window_end,as_of_date,numerator_count,denominator_count,otif_rate,sample_sufficient
6aee846c-1ac2-5562-957e-d3f887e9158a,c77963d8-1c44-520a-be00-9efc062d21d4,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,9,11,0.8182,false
4c5efa5f-2480-5b2a-ad79-7c99316fc949,c77963d8-1c44-520a-be00-9efc062d21d4,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,11,15,0.7333,false
228cd266-0a8f-56d4-9818-0fdae80564f6,4c9dd6bc-d4bf-53c9-872b-90b23ec8d5d5,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,10,15,0.6667,false
a1ba84f1-c7ef-5381-9b11-c36ddb6df733,4c9dd6bc-d4bf-53c9-872b-90b23ec8d5d5,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,12,15,0.8000,false
b6c856c0-780b-5ad7-80e9-3525e7dfbde0,4bd49743-3f53-57b7-bbc5-6dab27206f37,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,10,13,0.7692,false
ab78190d-a0db-5549-a29a-0b90179d106b,4bd49743-3f53-57b7-bbc5-6dab27206f37,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,8,13,0.6154,false
dec738d3-a7d1-5aa0-bf43-f537f0c01905,8da861a0-52e8-5625-b430-3a22414d79fb,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,7,8,0.8750,false
84bec332-62b7-5c80-9c88-a7cec27ca91a,8da861a0-52e8-5625-b430-3a22414d79fb,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,7,10,0.7000,false
8b082751-1913-540e-bdd2-9a102cd15ae9,58bb201a-b67a-5aa2-81e1-29ab62d99704,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,10,15,0.6667,false
4b7d731a-0150-53de-8a8f-802a610670e0,58bb201a-b67a-5aa2-81e1-29ab62d99704,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,7,14,0.5000,false
d7f74f06-d686-5fb2-901d-53a1b83027b3,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,6,9,0.6667,false
34bfd97d-2483-50cc-9263-c6c2c70706f0,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,14,30,0.4667,true
0946faac-fa8b-5904-9096-273433d098c2,938a277e-f12b-5e70-8354-56b03a77ce45,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,4,6,0.6667,false
eb036eaa-0f2e-59bb-b556-dbbf5e99940f,938a277e-f12b-5e70-8354-56b03a77ce45,cd80660b-3e07-58ef-88fb-4dfd4c14f755,OTIF_SYNTHETIC_V1,2025-06-30,2026-06-30,2026-06-30,5,6,0.8333,false
