scenario_id,canonical_line_key,scenario_type
46d39da9-0e46-584a-a830-da928f525393,POL-00000089,demand_shock
93337333-0a8e-5184-a0d9-1b993275a389,POL-00000091,split_schedule
a22ee62f-6bd9-56be-9b7a-8469367c9c99,POL-00000092,split_schedule
d6a9d532-c3e1-5b45-85b4-584d42a3983c,POL-00000095,split_schedule
e998778c-940e-5678-b1e4-440458cc4cfd,POL-00000097,missing_supplier_signal
97911577-2637-5c70-a8ab-c204cd7b3e39,POL-00000099,missing_inventory_signal
f2007603-1ae9-5678-8de0-d0623e504294,POL-00000104,split_schedule
761f6b4e-c31b-5609-9dd1-6d14935e0e0a,POL-00000106,split_schedule
98f200ac-eb12-5833-acd6-2403a53b3358,POL-00000109,demand_shock
21333272-ca41-5fe3-a25f-6657a60b49d5,POL-00000112,missing_supplier_signal
7d4a5fd8-ad84-5439-99a0-aa69ffa474c5,POL-00000115,split_schedule
68fa86eb-210e-5c10-abb6-0352ab547678,POL-00000122,split_schedule
b655538b-1456-5fb7-9c85-86e8639090eb,POL-00000123,split_schedule
88d0f23a-2a2d-5925-9093-e87655bbe514,POL-00000124,demand_shock
9d6630e6-42a3-53fe-82e8-160a0cddc89e,POL-00000125,missing_supplier_signal
059a5fc8-4667-5f83-a28e-c8ad7dbd1121,POL-00000128,split_schedule
757a89a1-4e38-5cb2-afb1-57ba8ad29c64,POL-00000129,missing_supplier_signal
ad1274c3-f2c0-5b3f-bec3-5bd78383a4c1,POL-00000130,missing_supplier_signal
73632efc-7daf-5f27-85bb-3dec92f93c27,POL-00000130,split_schedule
9e5d2b4f-b6cf-5c5f-84b7-1526d220c702,POL-00000131,split_schedule
77de8bf7-ba56-5b43-a573-a10c8585d097,POL-00000132,supplier_deterioration
9fd5a1b4-aa37-5744-83c8-3859149beeac,POL-00000134,missing_supplier_signal
72ad2d96-0e9e-5cea-a2cd-ef5b8ee3e2ca,POL-00000134,split_schedule
a11c8913-ff67-5a33-842e-0176d8ede39e,POL-00000135,missing_inventory_signal
08aa3b01-8c4c-51d4-8a1e-0dbabfdb0406,POL-00000136,missing_inventory_signal
03cb6996-1c9a-5d08-999e-f42912b41041,POL-00000137,demand_shock
f7467916-4b70-5a79-8e61-343053ba2690,POL-00000138,split_schedule
e66b6f1b-38ad-5919-a3b1-bab0a14877e0,POL-00000139,missing_supplier_signal
e60514a7-b31f-5f1a-849c-1e6eef7a4a0f,POL-00000142,split_schedule
790964d7-aae3-53fa-863e-bc0f40364864,POL-00000144,supplier_deterioration
f3893d13-6fe1-5b1c-b226-fc4d0ec34e91,POL-00000145,missing_inventory_signal
6908c2d8-6be4-5b22-be08-4f0f08d83336,POL-00000147,split_schedule
9b805160-20ba-574d-a6a6-744ebe5d6e40,POL-00000148,split_schedule
ed2eea2d-3777-5729-ae83-377107378018,POL-00000149,split_schedule
a199d1f8-81b5-5eb8-81e6-7b28f711949d,POL-00000151,split_schedule
f2a2d4e8-0855-561c-b43c-df1f23816dca,POL-00000157,missing_supplier_signal
9eec2556-e2d5-59ee-9fee-3202812f62ec,POL-00000162,missing_supplier_signal
c92647e2-f169-5e55-98fb-203788af76d8,POL-00000162,split_schedule
55c23301-7784-5821-89e4-e8e6939363ad,POL-00000164,split_schedule
c35cf257-6306-52fe-a1af-cb3644e3fc91,POL-00000165,split_schedule
b55e74ed-4a5e-5eea-a068-83a4725bf78e,POL-00000166,split_schedule
c6a80161-acf9-569a-b4e1-d5e4943c2a28,POL-00000174,supplier_deterioration
6fc73c83-f730-55ac-8fa0-28c6d31aa627,POL-00000175,split_schedule
19656a64-d339-522f-b6c4-49d74b2ea87d,POL-00000181,split_schedule
d8d4e765-f6be-59e1-aad5-2e613f994b77,POL-00000182,missing_inventory_signal
0264a08f-1465-524e-b8a3-e96a703614e2,POL-00000183,split_schedule
a16cdb90-95e3-503f-a02e-26ec6d344e59,POL-00000185,missing_supplier_signal
55626025-b60a-5c9f-b477-d9ad6e909011,POL-00000189,split_schedule
c1ab892c-137b-597c-81b7-ff45c9cb4570,POL-00000193,supplier_deterioration
c4ab135a-24c0-538e-ab34-de95f91d4aa6,POL-00000193,split_schedule
710b27a6-5d90-519e-a193-21e186982044,POL-00000198,missing_supplier_signal
43c78462-200c-5bc5-8a05-1f607d4ea3af,POL-00000199,missing_supplier_signal
782a02e9-f0b6-5ca3-b0fc-ceddb6315a67,POL-00000199,split_schedule
dfa9f027-2db1-51b9-8a19-80744aa5417f,POL-00000203,split_schedule
72d02400-e54a-5648-a930-93e6d3c55706,POL-00000204,supplier_deterioration
5d1b14c0-242e-54dd-85da-98fcec2bcf16,POL-00000204,split_schedule
e4bb8da8-9fb3-523a-916e-51dd1d088fd7,POL-00000205,missing_supplier_signal
240beabe-07e0-5e37-ab9a-5a91498cb020,POL-00000205,split_schedule
b448855d-3690-50d3-9ffb-7badbebfd92f,POL-00000207,demand_shock
ab237c5c-0cbf-5388-8b9d-b1e96cd63994,POL-00000207,missing_inventory_signal
b1a03459-1b24-5ded-8b76-90e9b04c71d8,POL-00000208,supplier_deterioration
fe884f53-27fd-57af-a290-82e05f748b6e,POL-00000213,split_schedule
12146b36-9286-5aaa-93d3-6b232aff81af,POL-00000214,supplier_deterioration
5a0fc860-476b-5cdc-b45a-fe06cca5d9f5,POL-00000215,split_schedule
e5587fbe-ba3d-58d9-ad54-0818b658e622,POL-00000217,split_schedule
2328202f-ac19-58fc-9ebf-a9dedc2bbc91,POL-00000221,missing_supplier_signal
085ad608-b677-5d39-a749-ce4c37631333,POL-00000221,split_schedule
4b2496a7-2412-5729-916f-99955d49d06e,POL-00000229,split_schedule
561aebc7-b166-511d-915f-2717cf7bf70e,POL-00000239,split_schedule
340d81af-cd2e-5eb5-9b79-8ef9d3f606f0,POL-00000241,missing_inventory_signal
031e3dfe-123d-575e-8e53-69c5c7c977df,POL-00000241,split_schedule
c058855e-70a8-595b-8335-badf789f3f45,POL-00000244,split_schedule
96b46305-6814-59f2-93bd-267f43e5b2cd,POL-00000245,split_schedule
909a3717-11c4-54ef-8ea3-2ab7096e5915,POL-00000246,split_schedule
8069e299-ec6a-5e6e-8c21-bedfe6bc614c,POL-00000248,missing_supplier_signal
fdb7d83c-3070-599a-b779-115dc38024e7,POL-00000249,receipt_reversal
5fff7daa-6395-59ea-9031-720599b11ce8,POL-00000250,supplier_commitment_breach
a2a63410-9a97-5bc7-9719-0e5c21dbf639,POL-00000251,supplier_deterioration
c34c619a-7381-59c4-a211-e7e901e78448,POL-00000252,demand_shock
a82d58c8-672f-5ee5-b19a-0f235613b33f,POL-00000253,receipt_correction
98eeb4d4-7c98-55a5-ab9e-46b08fa2e510,POL-00000254,split_schedule
24c9b1d0-7fb8-54f9-ba74-279a4bd2b941,POL-00000255,inventory_reallocation_opportunity
c839c857-488f-5a8e-a5d9-11dac0af6216,POL-00000256,false_positive_source_data_correction
c3656b73-7255-5562-b36b-195eda96b079,POL-00000257,overdue_critical_order
1dd364f0-2ac7-5678-9f4e-50304b6a3dda,POL-00000258,partial_receipt_remaining_exposure
27b46a21-8c98-5c73-82ec-44b3198b038d,POL-00000259,missing_inventory_signal
d9e33c77-1445-55da-bf5a-9ecd05be6a5c,POL-00000260,missing_supplier_signal
