id,operational_receipt_id,po_line_id,receipt_document,receipt_item_sequence,transaction_type,source_quantity,source_uom,base_quantity,posted_at,corrects_receipt_id,late_receipt_flag,need_date,evaluation_only_flag,source_visibility,scenario_ids,scenario_types
b1e87fdf-45fc-5f02-8a9d-b34bab11561e,,97b7ba0f-447c-5992-85e9-a76792aac805,RCV-000000339,1,receipt,4447.1933,EA,4447.1933,2026-08-10T14:02:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,,
e0d0981c-42c9-58bf-8fdd-0893d95ee1b3,,57091412-8265-5e6e-a668-f35f422b049f,RCV-000000340,1,receipt,3773.4200,EA,3773.4200,2026-07-22T14:01:00+10:00,,true,2026-07-09,true,post_as_of_hidden_realisation,8069e299-ec6a-5e6e-8c21-bedfe6bc614c,missing_supplier_signal
785d93cd-cfee-52c6-85be-61ed6ed51cbb,,6245ccde-23ea-5459-93da-2823b8af6b90,RCV-000000342,1,receipt,61.5517,EA,61.5517,2026-07-01T14:01:00+10:00,,true,2026-06-21,true,post_as_of_hidden_realisation,5fff7daa-6395-59ea-9031-720599b11ce8,supplier_commitment_breach
5153e49c-928a-58f3-89c0-59acfd23ba7a,,48ed627a-0055-5133-b9bc-111f2f7c28f3,RCV-000000343,1,receipt,858.8839,EA,858.8839,2026-07-11T14:01:00+10:00,,true,2026-07-09,true,post_as_of_hidden_realisation,a2a63410-9a97-5bc7-9719-0e5c21dbf639,supplier_deterioration
0f012421-2a36-5005-a744-7904d73d1338,,dd4499bf-56bf-5b8d-88bf-c7cc009b76b7,RCV-000000344,1,receipt,25.6393,EA,25.6393,2026-08-11T14:01:00+10:00,,true,2026-08-02,true,post_as_of_hidden_realisation,c34c619a-7381-59c4-a211-e7e901e78448,demand_shock
4c4bf91a-7add-5b1e-9fd1-2998d9713397,,dd4499bf-56bf-5b8d-88bf-c7cc009b76b7,RCV-000000345,1,receipt,25.6393,EA,25.6393,2026-08-13T14:02:00+10:00,,true,2026-08-02,true,post_as_of_hidden_realisation,c34c619a-7381-59c4-a211-e7e901e78448,demand_shock
4dca0c0b-9960-5241-b65c-f8a2ef6b6478,,e352c6c8-f604-5992-8022-9093ab1ff4df,RCV-000000349,1,receipt,1170.5987,EA,1170.5987,2026-07-18T14:01:00+10:00,,true,2026-07-16,true,post_as_of_hidden_realisation,24c9b1d0-7fb8-54f9-ba74-279a4bd2b941,inventory_reallocation_opportunity
5db0a1fd-4c52-5064-be59-869a5486250f,,2c383d3a-d0b1-5dee-910d-a3b56916e241,RCV-000000351,1,receipt,58.9700,EA,58.9700,2026-07-06T14:01:00+10:00,,true,2026-06-26,true,post_as_of_hidden_realisation,c3656b73-7255-5562-b36b-195eda96b079,overdue_critical_order
8f6b7be4-60be-53a4-ad58-a9bc201c6d78,,2c383d3a-d0b1-5dee-910d-a3b56916e241,RCV-000000352,1,receipt,58.9700,EA,58.9700,2026-07-07T14:02:00+10:00,,true,2026-06-26,true,post_as_of_hidden_realisation,c3656b73-7255-5562-b36b-195eda96b079,overdue_critical_order
1b5627d7-62b9-57af-a5c8-8779a5587d9f,,fba26f22-480f-545e-839a-f909ba148543,RCV-000000355,1,receipt,41.1297,EA,41.1297,2026-07-14T14:01:00+10:00,,true,2026-06-29,true,post_as_of_hidden_realisation,27b46a21-8c98-5c73-82ec-44b3198b038d,missing_inventory_signal
d4a738c2-0f54-568f-aa23-af7ae501fbcf,,6ab7ad2f-5c4d-569c-8389-8a4e4242e8a5,RCV-000000356,1,receipt,2524.6577,EA,2524.6577,2026-08-21T14:01:00+10:00,,true,2026-08-04,true,post_as_of_hidden_realisation,d9e33c77-1445-55da-bf5a-9ecd05be6a5c,missing_supplier_signal
797416b1-3b8e-5d3f-9ef7-6b90ec57731a,,67ef137e-c39a-5e4f-8c79-6e504a90a059,REAL-POL-00000234,1,receipt,89.0710,EA,89.0710,2026-07-05T15:00:00+10:00,,true,2026-06-27,true,post_as_of_hidden_realisation,,
479a9031-4761-5a97-ac9a-629b3e3a9bb1,,c23d9d48-d2e9-5905-875d-f7cbda995da5,REAL-POL-00000236,1,receipt,366.3606,EA,366.3606,2026-07-07T15:00:00+10:00,,true,2026-06-20,true,post_as_of_hidden_realisation,,
0f272c44-f414-550a-9fdf-dbdf88107363,,a96bc6d9-901a-5312-a24e-4c8f21580b7f,REAL-POL-00000238,1,receipt,491.3160,EA,491.3160,2026-07-04T15:00:00+10:00,,false,2026-07-04,true,post_as_of_hidden_realisation,,
c2682438-d40f-5a07-89f9-8bac17b8e02c,,34a36bf8-3ea7-5ede-a07b-642d7b72dafc,REAL-POL-00000239,1,receipt,25714.3062,EA,25714.3062,2026-07-16T15:00:00+10:00,,true,2026-06-29,true,post_as_of_hidden_realisation,561aebc7-b166-511d-915f-2717cf7bf70e,split_schedule
30878e04-88d9-53a8-a058-68c53a8b0823,,cb0a58cb-6d7d-505e-ab03-fda7308eba39,REAL-POL-00000240,1,receipt,60.6196,EA,60.6196,2026-07-01T15:00:00+10:00,,true,2026-06-23,true,post_as_of_hidden_realisation,,
f2e678b3-03a2-5833-adc7-b461eef523fd,,020bbbcf-ba14-5571-9371-84f63257bf60,REAL-POL-00000244,1,receipt,3784.0699,EA,3784.0699,2026-07-05T15:00:00+10:00,,true,2026-06-25,true,post_as_of_hidden_realisation,c058855e-70a8-595b-8335-badf789f3f45,split_schedule
b383a156-6273-54a9-aac9-7256c73efb54,,f562b0e3-e479-5200-845b-f38069e7f712,REAL-POL-00000249,1,receipt,52.0000,EA,52.0000,2026-07-03T15:00:00+10:00,,true,2026-06-20,true,post_as_of_hidden_realisation,fdb7d83c-3070-599a-b779-115dc38024e7,receipt_reversal
9d3a3410-803d-5b7f-843e-6793252e68d1,,34a94756-0101-53d3-ae7f-b13beb47b1c9,REAL-POL-00000253,1,receipt,92.7304,EA,92.7304,2026-07-06T15:00:00+10:00,,true,2026-06-20,true,post_as_of_hidden_realisation,a82d58c8-672f-5ee5-b19a-0f235613b33f,receipt_correction
2f6ee761-314b-55b1-9925-c3f6dd1ecd90,,2164ee6f-8623-5da5-8c46-291823ffa56e,REAL-POL-00000254,1,receipt,65.2006,EA,65.2006,2026-07-05T15:00:00+10:00,,true,2026-06-21,true,post_as_of_hidden_realisation,98eeb4d4-7c98-55a5-ab9e-46b08fa2e510,split_schedule
460e46cd-be8d-5c5d-9c5c-e67553aa97ae,,cdc0784f-19e1-507f-b963-e356d5f52824,REAL-POL-00000256,1,receipt,242.3135,EA,242.3135,2026-07-04T15:00:00+10:00,,true,2026-06-20,true,post_as_of_hidden_realisation,c839c857-488f-5a8e-a5d9-11dac0af6216,false_positive_source_data_correction
d3630b81-8102-577d-970a-b05522edd087,,c1c8f959-e8b1-5e8c-a79d-f8566f1057cd,REAL-POL-00000258,1,receipt,1980.0000,EA,1980.0000,2026-07-04T15:00:00+10:00,,true,2026-06-20,true,post_as_of_hidden_realisation,1dd364f0-2ac7-5678-9f4e-50304b6a3dda,partial_receipt_remaining_exposure
