id,product_id,from_uom,to_uom,conversion_factor,effective_from,effective_to
982ffa06-c250-568b-a1f2-c218b62c9452,ce149183-f698-5b38-9d6f-47394dafce45,PALLET,EA,120,2024-07-01T09:00:00+10:00,
c604891f-f26c-55ab-9b4d-8f3bb3e4fce2,1f4d4772-a022-5cfc-a96e-04c7ad0d1a55,EA,EA,1,2024-07-01T09:00:00+10:00,
e7c0b5b3-671d-5270-bd67-042a29ff76d5,1f4d4772-a022-5cfc-a96e-04c7ad0d1a55,CASE,EA,24,2024-07-01T09:00:00+10:00,
e97d6452-ac37-5288-ac98-7909dfdd6858,1f4d4772-a022-5cfc-a96e-04c7ad0d1a55,PALLET,EA,240,2024-07-01T09:00:00+10:00,
3ebf1aad-9228-51a9-9d1d-eb29d17616ad,b94cba32-e7de-5d7c-afea-23fba919ed21,EA,EA,1,2024-07-01T09:00:00+10:00,
1be89340-3a90-5151-8466-b20c8e068a10,b94cba32-e7de-5d7c-afea-23fba919ed21,CASE,EA,24,2024-07-01T09:00:00+10:00,
7d023870-3273-535c-9c85-1a2eeeac4dae,b94cba32-e7de-5d7c-afea-23fba919ed21,PALLET,EA,120,2024-07-01T09:00:00+10:00,
465037da-36c1-5987-b557-d452495eb511,943fffff-3f21-52fd-a307-b259a6fef658,EA,EA,1,2024-07-01T09:00:00+10:00,
25d7cbf0-6639-5194-9edc-bcdf1572cc0f,943fffff-3f21-52fd-a307-b259a6fef658,CASE,EA,48,2024-07-01T09:00:00+10:00,
f7c7a159-75f9-55e3-b8a6-066e7bf16d3c,943fffff-3f21-52fd-a307-b259a6fef658,PALLET,EA,240,2024-07-01T09:00:00+10:00,
b8633a89-f2b7-5192-aef0-2bd16be2a266,f8133fbe-749f-5b84-a762-a62025fd96d1,EA,EA,1,2024-07-01T09:00:00+10:00,
a9fc296e-d6d1-55e1-b765-afd77cfa2283,f8133fbe-749f-5b84-a762-a62025fd96d1,CASE,EA,24,2024-07-01T09:00:00+10:00,
d2690acf-88a6-523f-97df-7d6ef5402d16,f8133fbe-749f-5b84-a762-a62025fd96d1,PALLET,EA,120,2024-07-01T09:00:00+10:00,
40911816-c14a-5800-8580-1ac65bb0702f,c3f298ca-9a69-574b-b887-cd9160b10d7e,EA,EA,1,2024-07-01T09:00:00+10:00,
960669f3-b07c-5c69-bc80-94ca9c876f53,c3f298ca-9a69-574b-b887-cd9160b10d7e,CASE,EA,6,2024-07-01T09:00:00+10:00,
9078f2cb-7001-5c9c-8b92-dfadba6895da,c3f298ca-9a69-574b-b887-cd9160b10d7e,PALLET,EA,120,2024-07-01T09:00:00+10:00,
16dddc07-c623-5adf-a4f3-e236f0f98c1e,845990f3-480b-5068-96a7-56555c9bfded,EA,EA,1,2024-07-01T09:00:00+10:00,
fd6b4382-8903-5040-93b3-dd52e1298338,845990f3-480b-5068-96a7-56555c9bfded,CASE,EA,6,2024-07-01T09:00:00+10:00,
295c9edf-831d-5305-9cbc-6053e01cc546,845990f3-480b-5068-96a7-56555c9bfded,PALLET,EA,120,2024-07-01T09:00:00+10:00,
7727fe02-ceb4-54ad-8c44-b26a57b50c2b,3d05cb9b-d5a0-53d8-84f5-a6128827eb81,EA,EA,1,2024-07-01T09:00:00+10:00,
b803ec50-ddad-58e2-9636-b6801ea637b9,3d05cb9b-d5a0-53d8-84f5-a6128827eb81,CASE,EA,6,2024-07-01T09:00:00+10:00,
b7038060-1540-5e89-8dac-f0da531377ac,3d05cb9b-d5a0-53d8-84f5-a6128827eb81,PALLET,EA,240,2024-07-01T09:00:00+10:00,
5f4d228d-5cb1-5e31-b090-cff5de7b5108,2bc50dec-b057-52d9-bb68-4422b67e6c08,EA,EA,1,2024-07-01T09:00:00+10:00,
9d4225f7-ebc7-5a88-8e14-f6a484517be4,2bc50dec-b057-52d9-bb68-4422b67e6c08,CASE,EA,24,2024-07-01T09:00:00+10:00,
f4546231-804c-5f55-994c-f14b4f3ab0f6,2bc50dec-b057-52d9-bb68-4422b67e6c08,PALLET,EA,120,2024-07-01T09:00:00+10:00,
2936d278-95cf-53ef-be5b-e3a55f08113a,156f1b61-81f0-5bee-8acc-b26bfd4d94be,EA,EA,1,2024-07-01T09:00:00+10:00,
70ce7b1b-de1e-552c-a0e8-d460eae44238,156f1b61-81f0-5bee-8acc-b26bfd4d94be,CASE,EA,24,2024-07-01T09:00:00+10:00,
12d44d27-68e5-5e78-801b-3c57295bef16,156f1b61-81f0-5bee-8acc-b26bfd4d94be,PALLET,EA,120,2024-07-01T09:00:00+10:00,
50135425-6b06-59a9-95ff-40900746f40f,3260e462-15f7-59e3-a229-c6e4260bb97a,EA,EA,1,2024-07-01T09:00:00+10:00,
e81ab5a9-3d69-547d-8bdc-71d41bbf9bb5,3260e462-15f7-59e3-a229-c6e4260bb97a,CASE,EA,12,2024-07-01T09:00:00+10:00,
2434cc39-14fa-51d1-9ea8-0b04b2f0869a,3260e462-15f7-59e3-a229-c6e4260bb97a,PALLET,EA,480,2024-07-01T09:00:00+10:00,
64813810-aac2-5fae-97af-8a8205de6efe,e7ae4d79-bd0e-5dd7-b736-930307e54235,EA,EA,1,2024-07-01T09:00:00+10:00,
ff1e28ea-54b7-5cf6-928c-e3dc02b5efb3,e7ae4d79-bd0e-5dd7-b736-930307e54235,CASE,EA,24,2024-07-01T09:00:00+10:00,
1553874c-44ff-5939-8eec-748fea826f81,e7ae4d79-bd0e-5dd7-b736-930307e54235,PALLET,EA,120,2024-07-01T09:00:00+10:00,
171b8e82-4c14-5602-9dd4-0950fa82bc07,802e4010-8aa6-5fb1-bc87-5f2947921061,EA,EA,1,2024-07-01T09:00:00+10:00,
56bbb3e7-630c-5033-928b-a1d3afa26f68,802e4010-8aa6-5fb1-bc87-5f2947921061,CASE,EA,48,2024-07-01T09:00:00+10:00,
099626ee-a41b-5087-a26d-6150a83a2241,802e4010-8aa6-5fb1-bc87-5f2947921061,PALLET,EA,480,2024-07-01T09:00:00+10:00,
cfcddd78-493c-5a77-addf-6ab3af9da5e5,1d765b5d-108b-588d-90bf-0a5f7c702f58,EA,EA,1,2024-07-01T09:00:00+10:00,
515b7b46-1e6b-50ac-8d1d-850d15c3c142,1d765b5d-108b-588d-90bf-0a5f7c702f58,CASE,EA,12,2024-07-01T09:00:00+10:00,
6ab856db-8891-5e58-a74d-7332b9ad79d8,1d765b5d-108b-588d-90bf-0a5f7c702f58,PALLET,EA,120,2024-07-01T09:00:00+10:00,
74383313-3565-57ed-a7d5-51e2da01c0bd,73ffaed7-94be-55a5-afed-0d1e98f52b44,EA,EA,1,2024-07-01T09:00:00+10:00,
d3a433a2-84cb-5c98-8935-503db10999e3,73ffaed7-94be-55a5-afed-0d1e98f52b44,CASE,EA,6,2024-07-01T09:00:00+10:00,
76a9c597-f381-57c6-bc94-2451462f2195,73ffaed7-94be-55a5-afed-0d1e98f52b44,PALLET,EA,120,2024-07-01T09:00:00+10:00,
bc90070c-1cea-5778-a3d6-6ca689aa8430,26f9d7d6-f6e5-5f66-b038-c4074cf38cff,EA,EA,1,2024-07-01T09:00:00+10:00,
cd8cee0b-fd18-518b-85ae-e109cdbeaa8e,26f9d7d6-f6e5-5f66-b038-c4074cf38cff,CASE,EA,6,2024-07-01T09:00:00+10:00,
5fdd9c2f-c01d-54e7-a829-434fdad06d03,26f9d7d6-f6e5-5f66-b038-c4074cf38cff,PALLET,EA,240,2024-07-01T09:00:00+10:00,
915d8ca8-1813-586f-b234-e8834e3d425b,258787f4-7c2c-53a6-b106-204498b26f2f,EA,EA,1,2024-07-01T09:00:00+10:00,
c1a16e6e-ade1-544f-bae9-357ce45e5b96,258787f4-7c2c-53a6-b106-204498b26f2f,CASE,EA,6,2024-07-01T09:00:00+10:00,
d572b65c-a292-564f-a383-22dca8fcc1d1,258787f4-7c2c-53a6-b106-204498b26f2f,PALLET,EA,240,2024-07-01T09:00:00+10:00,
a78f925f-b1fe-5ee5-aa1f-afe0e45771d9,13c36a28-138e-592b-89a5-f58427ce5201,EA,EA,1,2024-07-01T09:00:00+10:00,
027e6fbf-b592-5957-8fd4-8e11ea2f1c3c,13c36a28-138e-592b-89a5-f58427ce5201,CASE,EA,24,2024-07-01T09:00:00+10:00,
270fa907-1aa4-577b-980d-d2297e5ab011,13c36a28-138e-592b-89a5-f58427ce5201,PALLET,EA,240,2024-07-01T09:00:00+10:00,
d61e0c00-0ee1-573b-ab46-9a8805afdb3f,b57530b6-83a1-5572-a798-20246dda47c5,EA,EA,1,2024-07-01T09:00:00+10:00,
74382022-dc39-5f83-89ad-95cebc3799f2,b57530b6-83a1-5572-a798-20246dda47c5,CASE,EA,48,2024-07-01T09:00:00+10:00,
8734d1b4-de80-56d8-916f-bdbda298885d,b57530b6-83a1-5572-a798-20246dda47c5,PALLET,EA,120,2024-07-01T09:00:00+10:00,
187f9549-e54f-5592-8789-7b926cff5c44,23303b4e-f08b-5648-a6a2-f350ebc5143c,EA,EA,1,2024-07-01T09:00:00+10:00,
f0637c52-a1a5-5dee-a41c-6326d082fe35,23303b4e-f08b-5648-a6a2-f350ebc5143c,CASE,EA,12,2024-07-01T09:00:00+10:00,
747a8c99-ef56-58e5-b73f-a6ec8c990afc,23303b4e-f08b-5648-a6a2-f350ebc5143c,PALLET,EA,480,2024-07-01T09:00:00+10:00,
1e9c9b4c-1ceb-507f-bb34-66372b2247c8,fb68c10a-55c0-5d65-85fe-0d8330c7d0e5,EA,EA,1,2024-07-01T09:00:00+10:00,
1da7a0e6-b682-52ee-9443-89fc8fa660f7,fb68c10a-55c0-5d65-85fe-0d8330c7d0e5,CASE,EA,24,2024-07-01T09:00:00+10:00,
fd8d9758-9784-5411-aae6-caf1db52be1a,fb68c10a-55c0-5d65-85fe-0d8330c7d0e5,PALLET,EA,480,2024-07-01T09:00:00+10:00,
33f5ff96-6054-5905-9a49-e090f95a82fd,9b4cace9-899f-537b-b7be-bed7f160dcf2,EA,EA,1,2024-07-01T09:00:00+10:00,
ee3e8620-0b0d-5f4a-afe7-02a8e08fa682,9b4cace9-899f-537b-b7be-bed7f160dcf2,CASE,EA,6,2024-07-01T09:00:00+10:00,
5ce323ce-a9ef-58d4-aa9c-5a870f79f7f6,9b4cace9-899f-537b-b7be-bed7f160dcf2,PALLET,EA,480,2024-07-01T09:00:00+10:00,
938759ee-6da5-586e-bdc0-2ee943a248de,d4b300ac-9c19-5617-8775-15b2fd6ecff3,EA,EA,1,2024-07-01T09:00:00+10:00,
696eded6-f58c-5a9e-a529-acadc4c4dfad,d4b300ac-9c19-5617-8775-15b2fd6ecff3,CASE,EA,12,2024-07-01T09:00:00+10:00,
d06ba2c7-6254-5c3a-a23d-09c551ccc7e8,d4b300ac-9c19-5617-8775-15b2fd6ecff3,PALLET,EA,480,2024-07-01T09:00:00+10:00,
8bd20e23-732f-5929-a85d-ba4aae360cb6,5a2c36f8-ff5b-53d9-9352-fac73932d34f,EA,EA,1,2024-07-01T09:00:00+10:00,
927f7a07-9068-5449-bd7d-ad17e94d433f,5a2c36f8-ff5b-53d9-9352-fac73932d34f,CASE,EA,24,2024-07-01T09:00:00+10:00,
4d235300-6f1d-5cfa-a411-708ff367da60,5a2c36f8-ff5b-53d9-9352-fac73932d34f,PALLET,EA,480,2024-07-01T09:00:00+10:00,
